Time of feeding,Ingredients,Amount,Unit type,Baby's reaction
12/28/2019 5:56:43 PM,Oatmeal,2.8,oz,Like it!
12/28/2019 1:00:14 PM,Fruit smoothies,3.8,oz,Like it!
12/27/2019 6:48:16 PM,Fruit smoothies,4.15,oz,Like it!
12/27/2019 12:15:50 PM,Oatmeal,1.35,oz,Like it!
12/27/2019 8:52:20 AM,Oatmeal,2.7,oz,Like it!
12/27/2019 4:10:10 PM,Fruit smoothies,2.8,oz,Like it!
12/27/2019 12:05:10 PM,Fruit smoothies,2.0,oz,Like it!
12/27/2019 3:40:47 PM,Yogurt,1.7,oz,Like it!
12/27/2019 9:38:58 AM,Fruit smoothies,2.55,oz,Like it!
12/26/2019 7:47:50 PM,Fruit smoothies,2.6,oz,Like it!
12/26/2019 5:45:30 PM,Yogurt,0.6,oz,Like it!
12/26/2019 12:15:16 PM,Oatmeal,2.8,oz,Like it!
12/26/2019 7:41:22 PM,Oatmeal,1.4,oz,Like it!
12/26/2019 3:18:47 PM,Yogurt,2.5,oz,Like it!
12/26/2019 10:05:06 AM,Fruit smoothies,4.45,oz,Like it!
12/26/2019 3:28:16 PM,Fruit smoothies,2.3,oz,Like it!
12/26/2019 5:23:04 PM,Fruit smoothies,1.9,oz,Like it!
12/26/2019 9:15:33 AM,Oatmeal,2.75,oz,Like it!
12/25/2019 4:38:08 PM,Fruit smoothies,1.35,oz,Like it!
12/25/2019 9:03:01 AM,Oatmeal,2.2,oz,Like it!
12/25/2019 8:55:10 AM,Nuts,0.2,oz,Like it!
12/25/2019 9:09:51 AM,Fruit smoothies,3.4,oz,Like it!
12/25/2019 12:35:19 PM,Oatmeal,2.25,oz,Like it!
12/25/2019 7:52:34 PM,Fruit smoothies,2.25,oz,Like it!
12/25/2019 5:34:35 PM,Fruit smoothies,1.6,oz,Like it!
12/25/2019 12:43:32 PM,Fruit smoothies,2.75,oz,Like it!
12/25/2019 5:25:35 PM,Yogurt,1.2,oz,Like it!
12/24/2019 7:27:59 PM,Fruit smoothies,2.8,oz,Like it!
12/24/2019 10:35:33 AM,Fruit smoothies,2.0,oz,Like it!
12/24/2019 12:14:08 PM,Oatmeal,2.8,oz,Like it!
12/24/2019 4:10:53 PM,Fruit smoothies,3.25,oz,Like it!
12/24/2019 12:19:18 PM,Fruit smoothies,2.3,oz,Like it!
12/24/2019 8:48:27 AM,Oatmeal,2.7,oz,Like it!
12/24/2019 5:22:38 PM,Yogurt,2.5,oz,Like it!
12/23/2019 4:50:17 PM,Fruit smoothies,2.45,oz,Like it!
12/23/2019 8:18:19 AM,Oatmeal,1.9,oz,Like it!
12/23/2019 12:36:14 PM,Oatmeal,2.5,oz,Like it!
12/23/2019 10:30:29 AM,Fruit smoothies,1.0,oz,Like it!
12/23/2019 9:23:35 AM,Fruit smoothies,2.6,oz,Like it!
12/23/2019 6:14:21 PM,Nuts,0.2,oz,Like it!
12/23/2019 4:05:57 PM,Fruit smoothies,1.4,oz,Like it!
12/23/2019 10:37:12 AM,Oatmeal,1.6,oz,Like it!
12/23/2019 6:20:34 PM,Yogurt,1.7,oz,Like it!
12/22/2019 11:15:12 AM,Fruit smoothies,3.0,oz,Like it!
12/22/2019 4:04:21 PM,Yogurt,0.4,oz,Hate it!
12/22/2019 9:40:07 AM,Fruit smoothies,1.6,oz,Like it!
