Diaper time,In the diaper,Color,Texture
01/10/2023 7:55:00 PM,pee,,
01/10/2023 5:03:00 PM,pee and poo,green,Solid
01/10/2023 4:32:00 PM,pee,,
01/10/2023 2:48:00 PM,pee,,
01/10/2023 11:52:00 AM,pee,,
01/10/2023 7:58:00 AM,pee,,
01/10/2023 7:58:00 AM,pee,,
01/10/2023 12:58:00 AM,pee,,
01/10/2023 12:51:00 AM,pee,,
01/09/2023 7:00:00 PM,pee,,
01/09/2023 4:40:00 PM,pee,,
01/09/2023 12:25:00 PM,pee,,
01/09/2023 10:37:00 AM,pee and poo,green,Solid
01/09/2023 9:23:00 AM,pee,,
01/09/2023 7:06:00 AM,pee,,
01/09/2023 1:47:00 AM,pee,,
01/08/2023 7:32:00 PM,pee,,
01/08/2023 6:00:00 PM,pee,,
01/08/2023 2:05:50 PM,pee,,
01/08/2023 9:14:00 AM,pee and poo,green,Solid
01/08/2023 8:20:00 AM,pee,,
01/08/2023 8:21:16 AM,pee,,
01/08/2023 4:18:00 AM,pee,,
01/08/2023 1:22:00 AM,pee,,
01/07/2023 8:19:30 PM,pee,,
01/07/2023 7:35:00 PM,pee and poo,green,Solid
01/07/2023 4:41:44 PM,pee,,
01/07/2023 11:38:00 AM,pee,,
01/07/2023 8:00:00 AM,pee,,
01/07/2023 4:17:00 AM,pee,,
01/06/2023 6:41:00 PM,pee,,
01/06/2023 4:26:00 PM,pee,,
01/06/2023 3:27:00 PM,pee and poo,green,Solid
01/06/2023 1:58:00 PM,pee,,
01/06/2023 11:57:00 AM,pee,,
01/06/2023 10:04:00 AM,pee and poo,green,Solid
01/06/2023 9:24:00 AM,pee,,
01/06/2023 7:34:00 AM,pee,,
01/06/2023 3:27:00 AM,pee,,
01/05/2023 8:03:17 PM,pee,,
01/05/2023 4:49:00 PM,pee,,
01/05/2023 2:00:00 PM,pee,,
01/05/2023 12:42:00 PM,pee and poo,green,Solid
01/05/2023 11:19:00 AM,pee,,
01/05/2023 9:08:00 AM,pee,,
01/05/2023 7:25:00 AM,pee,,
01/05/2023 4:31:00 AM,pee,,
01/04/2023 8:04:00 PM,pee,,
01/04/2023 4:14:00 PM,pee,,
01/04/2023 1:43:00 PM,pee,,
01/04/2023 12:42:00 PM,pee and poo,green,Solid
01/04/2023 11:46:00 AM,pee,,
01/04/2023 9:14:00 AM,pee,,
01/04/2023 7:20:00 AM,pee,,
01/04/2023 3:13:00 AM,pee,,
01/03/2023 6:53:00 PM,pee and poo,green,Solid
01/03/2023 5:07:00 PM,pee,,
01/03/2023 1:56:00 PM,pee,,
01/03/2023 8:44:00 AM,pee,,
01/03/2023 12:03:00 PM,pee,,
01/03/2023 7:15:00 AM,pee,,
01/03/2023 2:41:00 AM,pee,,
01/02/2023 7:47:50 PM,pee,,
01/02/2023 4:54:00 PM,pee,,
01/02/2023 9:09:00 AM,pee and poo,green,Solid
01/02/2023 5:46:00 AM,pee,,
01/01/2023 4:38:14 PM,pee,,
01/01/2023 12:32:00 PM,pee,,
01/01/2023 8:28:00 AM,pee,,
01/01/2023 3:07:35 AM,pee,,
12/31/2022 5:11:00 PM,pee and poo,green,Mushy
12/31/2022 1:53:26 PM,pee,,
12/31/2022 8:01:00 AM,pee,,
12/30/2022 6:11:00 PM,pee and poo,green,Solid
12/30/2022 2:17:00 PM,pee and poo,green,Solid
12/30/2022 8:00:00 AM,pee,,
12/29/2022 8:09:00 PM,pee,,
12/29/2022 5:14:21 PM,pee,,
12/29/2022 2:05:00 PM,pee,,
12/29/2022 8:27:00 AM,poo,green,Solid
12/29/2022 6:30:00 AM,pee,,
12/28/2022 8:29:00 PM,pee,,
12/28/2022 3:49:00 PM,pee,,
12/28/2022 1:21:00 PM,pee,,
12/28/2022 11:07:54 AM,pee,,
12/28/2022 8:03:00 AM,poo,green,Solid
12/28/2022 7:45:00 AM,pee,,
12/28/2022 3:54:00 AM,pee,,
12/27/2022 9:11:00 PM,pee,,
12/27/2022 5:48:00 PM,pee,,
12/27/2022 1:23:00 PM,pee and poo,green,Solid
12/27/2022 9:00:00 AM,pee,,
12/27/2022 7:33:03 AM,pee,,
12/27/2022 3:47:00 AM,pee,,
12/26/2022 7:56:03 PM,pee and poo,green,Solid
12/26/2022 2:30:00 PM,pee,,
12/26/2022 9:20:00 AM,pee and poo,green,Mushy
12/26/2022 8:09:00 AM,pee,,
12/26/2022 1:55:25 AM,pee,,
12/25/2022 6:18:11 PM,pee,,
12/25/2022 2:51:00 PM,pee,,
12/25/2022 11:23:00 AM,pee and poo,green,Solid
12/25/2022 9:24:00 AM,pee,,
12/25/2022 3:56:14 AM,pee,,
12/24/2022 7:26:00 PM,pee,,
12/24/2022 3:14:17 PM,pee,,
12/24/2022 12:22:00 PM,pee,,
12/24/2022 8:00:00 AM,pee and poo,green,Solid
12/24/2022 4:11:00 AM,pee,,
12/23/2022 6:00:00 PM,pee,,
12/23/2022 1:07:00 PM,pee,,
12/23/2022 9:27:26 AM,pee,,
12/23/2022 6:47:00 AM,pee,,
12/22/2022 10:50:00 PM,pee,,
12/22/2022 6:40:00 PM,pee,,
12/22/2022 1:00:00 PM,pee,,
12/22/2022 9:26:00 AM,poo,green,Solid
12/22/2022 9:17:00 AM,pee,,
12/22/2022 5:49:00 AM,pee,,
12/21/2022 7:45:00 PM,pee,,
12/21/2022 5:15:00 PM,pee and poo,green,Solid
12/21/2022 1:00:00 PM,pee,,
12/21/2022 9:50:00 AM,pee,,
12/21/2022 6:30:00 AM,pee,,
12/20/2022 6:45:00 PM,pee,,
12/20/2022 4:35:00 PM,pee and poo,green,Solid
12/20/2022 3:42:00 PM,pee,,
12/20/2022 12:37:00 PM,pee,,
12/20/2022 10:44:00 AM,pee,,
12/20/2022 3:21:00 AM,pee,,
12/19/2022 6:45:00 PM,pee,,
12/19/2022 4:48:00 PM,pee and poo,green,Solid
12/19/2022 1:16:00 PM,pee,,
12/19/2022 10:24:00 AM,pee,,
12/19/2022 9:21:00 AM,pee,,
12/19/2022 7:20:00 AM,pee,,
12/19/2022 2:46:00 AM,pee,,
12/18/2022 6:20:00 PM,pee and poo,green,Mushy
12/18/2022 4:53:00 PM,pee,,
12/18/2022 11:40:00 AM,pee,,
12/18/2022 8:47:52 AM,pee,,
12/18/2022 1:17:00 AM,pee,,
12/17/2022 6:36:00 PM,pee,,
12/17/2022 1:01:00 PM,pee,,
12/17/2022 8:39:00 AM,pee,,
12/16/2022 10:38:00 PM,pee,,
12/16/2022 6:20:35 PM,pee,,
12/16/2022 4:35:00 PM,pee and poo,green,Solid
12/16/2022 2:27:00 PM,pee,,
12/16/2022 10:42:00 AM,pee,,
12/16/2022 7:32:00 AM,pee,,
12/16/2022 8:55:00 AM,pee,,
12/16/2022 4:15:00 AM,pee,,
12/15/2022 6:24:00 PM,pee,,
12/15/2022 7:35:00 AM,pee,,
12/15/2022 4:26:00 PM,pee,,
12/15/2022 1:51:00 PM,pee,,
12/15/2022 11:14:00 AM,pee,,
12/15/2022 9:27:00 AM,pee,,
12/14/2022 4:42:00 PM,pee and poo,green,Mushy
12/14/2022 1:28:00 PM,pee and poo,green,Solid
12/14/2022 11:16:00 AM,pee,,
12/14/2022 8:42:00 AM,pee and poo,green,Solid
12/14/2022 7:34:00 AM,pee,,
12/14/2022 1:29:00 AM,pee,,
12/13/2022 7:46:00 PM,pee,,
12/13/2022 5:45:00 PM,pee,,
12/13/2022 2:06:00 PM,pee,,
12/13/2022 12:20:00 PM,pee,,
12/13/2022 9:30:00 AM,pee,,
12/13/2022 7:20:00 AM,pee,,
12/13/2022 4:07:00 AM,pee,,
12/12/2022 7:56:00 PM,pee,,
12/12/2022 6:30:00 PM,pee,,
12/12/2022 4:11:00 PM,pee and poo,yellow,Solid
12/12/2022 2:53:00 PM,pee,,
12/12/2022 12:21:00 PM,pee,,
12/12/2022 9:15:00 AM,pee,,
12/12/2022 7:56:00 AM,pee,,
12/12/2022 1:39:00 AM,pee,,
12/11/2022 6:29:00 PM,poo,green,Mushy
12/11/2022 5:46:00 PM,pee,,
12/11/2022 12:46:00 PM,pee,,
12/11/2022 9:32:00 AM,pee and poo,green,Solid
12/11/2022 8:22:00 AM,pee,,
12/11/2022 1:06:00 AM,pee,,
12/10/2022 7:56:00 PM,pee,,
12/10/2022 4:50:00 PM,pee and poo,green,Solid
12/10/2022 2:17:00 PM,pee,,
12/10/2022 11:13:35 AM,pee,,
12/10/2022 8:15:00 AM,pee,,
12/10/2022 12:35:00 AM,pee,,
12/09/2022 8:00:00 PM,pee,,
12/09/2022 5:54:00 PM,pee,,
12/09/2022 5:07:00 PM,pee,,
12/09/2022 3:20:00 PM,pee,,
12/09/2022 12:18:00 PM,pee and poo,green,Solid
12/09/2022 11:19:00 AM,pee,,
12/09/2022 8:24:00 AM,pee,,
12/09/2022 7:20:00 AM,pee,,
12/09/2022 12:56:00 AM,pee,,
12/08/2022 7:00:00 PM,pee,,
12/08/2022 5:07:00 PM,pee,,
12/08/2022 1:43:00 PM,pee and poo,green,Solid
12/08/2022 11:30:00 AM,pee,,
12/08/2022 8:53:00 AM,pee,,
12/08/2022 5:31:00 AM,pee,,
12/07/2022 7:58:18 PM,pee and poo,green,Solid
12/07/2022 6:11:00 PM,pee,,
12/07/2022 4:59:00 PM,pee and poo,green,Solid
12/07/2022 3:54:00 PM,pee,,
12/07/2022 1:26:00 PM,pee and poo,green,Solid
12/07/2022 12:40:00 PM,pee,,
12/07/2022 7:53:00 AM,pee,,
12/07/2022 9:53:00 AM,pee,,
12/07/2022 3:06:00 AM,pee,,
12/06/2022 8:03:00 PM,pee,,
12/06/2022 6:50:00 PM,pee,,
12/06/2022 1:39:00 PM,pee,,
12/06/2022 8:37:00 AM,pee,,
12/06/2022 1:07:00 AM,pee,,
12/05/2022 6:38:00 PM,pee,,
12/05/2022 4:33:00 PM,pee and poo,green,Solid
12/05/2022 3:26:00 PM,pee and poo,green,Solid
12/05/2022 11:47:00 AM,pee,,
12/05/2022 9:19:00 AM,pee,,
12/05/2022 7:42:00 AM,pee,,
12/05/2022 1:26:00 AM,pee,,
12/04/2022 7:48:00 PM,pee,,
12/04/2022 5:00:00 PM,pee,,
12/04/2022 1:31:00 PM,pee and poo,green,Mucusy
12/04/2022 12:29:00 PM,pee and poo,green,Solid
12/04/2022 10:47:00 AM,pee,,
12/04/2022 7:50:00 AM,pee,,
12/04/2022 3:53:00 AM,pee,,
12/03/2022 7:55:32 PM,pee,,
12/03/2022 12:48:00 PM,pee,,
12/03/2022 8:45:00 AM,pee,,
12/03/2022 5:08:00 AM,pee,,
12/02/2022 8:03:00 PM,pee and poo,green,Solid
12/02/2022 6:00:00 PM,pee and poo,,Solid
12/02/2022 3:37:00 PM,pee,,
12/02/2022 1:14:00 PM,pee,,
12/02/2022 11:13:00 AM,pee,,
12/02/2022 9:43:00 AM,pee,,
12/02/2022 3:00:09 AM,pee,,
12/01/2022 6:43:06 PM,pee,,
12/01/2022 4:20:00 PM,pee and poo,green,Solid
12/01/2022 2:45:00 PM,pee,,
12/01/2022 11:42:00 AM,pee,,
12/01/2022 9:09:00 AM,pee,,
12/01/2022 1:23:00 AM,pee,,
11/30/2022 6:21:00 PM,pee,,
11/30/2022 4:32:00 PM,pee and poo,green,Solid
11/30/2022 10:23:00 AM,pee,,
11/30/2022 12:15:00 PM,pee,,
11/30/2022 7:52:38 AM,pee and poo,,
11/30/2022 7:22:00 AM,pee,,
11/30/2022 2:46:00 AM,pee,,
11/29/2022 7:40:00 PM,pee,,
11/29/2022 7:53:00 AM,pee,,
11/29/2022 4:45:00 PM,pee,,
11/29/2022 3:14:00 PM,pee,,
11/29/2022 1:14:00 PM,pee and poo,green,Solid
11/29/2022 10:57:00 AM,pee and poo,green,Solid
11/29/2022 8:57:00 AM,pee,,
11/29/2022 4:11:00 AM,pee,,
11/28/2022 7:36:00 PM,pee,,
11/28/2022 2:51:00 PM,pee,,
11/28/2022 1:35:00 PM,pee,,
11/28/2022 9:32:00 AM,poo,green,Solid
11/28/2022 9:13:00 AM,pee,,
11/28/2022 5:45:00 AM,pee,,
11/27/2022 10:40:00 PM,pee,,
11/27/2022 6:05:00 PM,pee,,
11/27/2022 2:49:00 PM,pee,,
11/27/2022 12:01:00 PM,pee,,
11/27/2022 8:20:00 AM,pee and poo,green,Solid
11/27/2022 6:55:00 AM,pee,,
11/27/2022 3:43:08 AM,pee,,
11/26/2022 8:35:00 PM,pee and poo,green,Solid
11/26/2022 5:54:00 PM,pee,,
11/26/2022 12:54:37 PM,pee,,
11/26/2022 11:05:00 AM,pee and poo,green,Solid
11/26/2022 7:00:41 AM,pee and poo,green,Solid
11/25/2022 10:39:57 PM,pee and poo,green,Solid
11/25/2022 7:00:31 PM,pee,,
11/25/2022 3:05:00 PM,pee,,
11/25/2022 10:53:00 AM,pee,,
11/25/2022 9:26:00 AM,pee,,
11/25/2022 1:44:00 AM,pee,,
11/24/2022 7:22:00 PM,pee,,
11/24/2022 2:58:37 PM,pee,,
11/24/2022 1:08:00 PM,pee,,
11/24/2022 8:10:00 AM,pee,,
11/24/2022 12:16:00 AM,pee,,
11/23/2022 7:04:00 PM,pee and poo,green,Solid
11/23/2022 4:48:00 PM,pee,,
11/23/2022 1:40:00 PM,pee and poo,green,Solid
11/23/2022 9:25:00 AM,pee and poo,green,Mushy
11/23/2022 8:31:00 AM,pee,,
11/23/2022 1:03:14 AM,pee,,
11/22/2022 6:15:00 PM,pee,,
11/22/2022 4:40:00 PM,pee,,
11/22/2022 1:19:00 PM,pee,,
11/22/2022 10:13:39 AM,pee,,
11/22/2022 8:25:00 AM,pee,,
11/22/2022 2:11:00 AM,pee,,
11/21/2022 1:18:00 PM,pee,,
11/21/2022 7:57:00 PM,pee,,
11/21/2022 6:22:24 PM,pee,,
11/21/2022 3:24:00 PM,pee,,
11/21/2022 11:34:00 AM,pee,,
11/21/2022 8:25:00 AM,pee and poo,green,Mushy
11/21/2022 2:58:00 AM,pee,,
11/20/2022 8:28:00 PM,pee,,
11/20/2022 2:30:00 PM,pee,,
11/20/2022 12:20:00 PM,pee and poo,green,Solid
11/20/2022 10:42:00 AM,pee and poo,green,Solid
11/20/2022 7:50:00 AM,pee,,
11/20/2022 1:08:00 AM,pee,,
11/19/2022 7:35:00 PM,pee,,
11/19/2022 3:50:12 PM,pee,,
11/19/2022 12:48:49 PM,pee,,
11/19/2022 9:37:00 AM,pee,,
11/19/2022 7:30:00 AM,pee,,
11/19/2022 9:00:00 AM,pee and poo,green,Mushy
11/19/2022 2:51:00 AM,pee,,
11/18/2022 6:15:53 PM,pee,,
11/18/2022 5:03:00 PM,pee and poo,green,Mushy
