Time of feeding,Milk type,Amount(ml),Amount(oz)
12/07/2019 12:50:27 PM,Breast milk,90.0,3.0433
12/07/2019 9:58:10 AM,Breast milk,60.0,2.0288
12/07/2019 10:00:13 AM,Formula,60.0,2.0288
12/07/2019 7:56:18 AM,Breast milk,120.0,4.0577
12/06/2019 7:58:22 PM,Breast milk,130.0,4.3958
12/06/2019 6:38:26 PM,Breast milk,80.0,2.7051
12/06/2019 4:35:41 PM,Breast milk,80.0,2.7051
12/06/2019 3:25:02 PM,Breast milk,100.0,3.3814
12/06/2019 10:28:04 AM,Breast milk,100.0,3.3814
12/06/2019 7:17:16 AM,Breast milk,150.0,5.0721
12/05/2019 7:55:08 PM,Breast milk,160.0,5.4102
12/05/2019 3:15:14 PM,Breast milk,20.0,0.6763
12/05/2019 4:35:50 PM,Breast milk,140.0,4.734
12/05/2019 12:40:12 PM,Breast milk,15.0,0.5072
12/05/2019 9:50:12 AM,Breast milk,45.0,1.5216
12/05/2019 7:35:28 AM,Formula,60.0,2.0288
12/04/2019 10:30:59 PM,Breast milk,140.0,4.734
12/04/2019 7:45:26 PM,Breast milk,60.0,2.0288
12/04/2019 5:12:10 PM,Breast milk,150.0,5.0721
12/04/2019 3:30:14 PM,Breast milk,60.0,2.0288
12/04/2019 12:30:39 PM,Breast milk,30.0,1.0144
12/04/2019 9:50:47 AM,Breast milk,60.0,2.0288
12/04/2019 6:55:04 AM,Breast milk,110.0,3.7195
12/03/2019 7:40:05 PM,Breast milk,110.0,3.7195
12/03/2019 6:25:45 PM,Breast milk,70.0,2.367
12/03/2019 5:45:01 PM,Formula,70.0,2.367
12/03/2019 3:25:58 PM,Breast milk,15.0,0.5072
12/03/2019 12:30:10 PM,Breast milk,90.0,3.0433
12/03/2019 11:15:33 AM,Breast milk,80.0,2.7051
12/03/2019 9:20:21 AM,Breast milk,30.0,1.0144
12/03/2019 7:27:47 AM,Breast milk,90.0,3.0433
12/02/2019 7:30:21 PM,Breast milk,150.0,5.0721
12/02/2019 4:47:35 PM,Breast milk,150.0,5.0721
12/02/2019 3:45:14 PM,Breast milk,90.0,3.0433
12/02/2019 12:05:29 PM,Breast milk,60.0,2.0288
12/02/2019 9:40:23 AM,Breast milk,60.0,2.0288
12/02/2019 7:12:00 AM,Breast milk,150.0,5.0721
12/01/2019 8:01:18 PM,Breast milk,165.0,5.5793
12/01/2019 5:22:23 PM,Breast milk,150.0,5.0721
12/01/2019 12:46:10 PM,Breast milk,135.0,4.5649
12/01/2019 10:12:24 AM,Breast milk,140.0,4.734
12/01/2019 7:41:51 AM,Breast milk,160.0,5.4102
11/30/2019 7:45:42 PM,Breast milk,160.0,5.4102
11/30/2019 4:15:30 PM,Breast milk,125.0,4.2268
11/30/2019 12:40:28 PM,Breast milk,140.0,4.734
11/30/2019 10:10:40 AM,Breast milk,120.0,4.0577
11/30/2019 7:36:32 AM,Breast milk,140.0,4.734
11/29/2019 7:48:32 PM,Breast milk,180.0,6.0865
11/29/2019 4:37:17 PM,Breast milk,150.0,5.0721
11/29/2019 12:45:35 PM,Breast milk,150.0,5.0721
11/29/2019 9:32:45 AM,Breast milk,150.0,5.0721
11/29/2019 7:40:28 AM,Breast milk,110.0,3.7195
